country,year_week,new_cases,sum_newcases,country_code,number_sequenced,sum_number_sequenced,sum_sequenced_pct,pct_sequenced_week,new
Austria,2020-40,5152.0,5152.0,AT,4,4,0.07763975155279502,0.07763975155279502,2020-10-05
Austria,2020-41,7365.0,12517.0,AT,24,28,0.22369577374770314,0.3258655804480652,2020-10-12
Austria,2020-42,9574.0,22091.0,AT,41,69,0.3123443936444706,0.4282431585544182,2020-10-19
Austria,2020-43,16979.0,39070.0,AT,38,107,0.27386741745584847,0.22380587784910771,2020-10-26
Austria,2020-44,28574.0,67644.0,AT,51,158,0.23357577907870616,0.1784839364457199,2020-11-02
Austria,2020-45,41398.0,109042.0,AT,128,286,0.26228425744208655,0.30919368085414756,2020-11-09
Austria,2020-46,50986.0,160028.0,AT,129,415,0.2593296173169695,0.2530106303691209,2020-11-16
Austria,2020-47,42630.0,202658.0,AT,17,432,0.21316701043136713,0.03987802017358667,2020-11-23
Austria,2020-48,32058.0,234716.0,AT,94,526,0.22410061521157484,0.2932185413937239,2020-11-30
Austria,2020-49,22794.0,257510.0,AT,66,592,0.22989398469962333,0.2895498815477757,2020-12-07
Austria,2020-50,19060.0,276570.0,AT,15,607,0.21947427414397802,0.07869884575026233,2020-12-14
Austria,2020-51,16186.0,292756.0,AT,45,652,0.22271106313790323,0.27801804028172494,2020-12-21
Austria,2020-52,15164.0,307920.0,AT,141,793,0.25753442452585085,0.9298338169348457,2020-12-28
Austria,2020-53,13188.0,321108.0,AT,340,1133,0.35284078876888775,2.578101304215954,2021-01-04
Austria,2021-01,15133.0,336241.0,AT,159,1292,0.3842482029258776,1.0506839357695104,2021-01-04
Austria,2021-02,11406.0,347647.0,AT,470,1762,0.5068359571634445,4.120638260564615,2021-01-11
Austria,2021-03,10421.0,358068.0,AT,844,2606,0.727794720555872,8.099030803185874,2021-01-18
Austria,2021-04,9451.0,367519.0,AT,1531,4137,1.1256560885287563,16.199343984763516,2021-01-25
Austria,2021-05,10467.0,377986.0,AT,965,5102,1.3497854417888493,9.219451609821343,2021-02-01
Austria,2021-06,8442.0,386428.0,AT,691,5793,1.4991149709648368,8.185264155413408,2021-02-08
Austria,2021-07,11848.0,398276.0,AT,513,6306,1.5833241269873153,4.329844699527347,2021-02-15
Austria,2021-08,14370.0,412646.0,AT,318,6624,1.6052500205987699,2.2129436325678498,2021-02-22
Austria,2021-09,15708.0,428354.0,AT,808,7432,1.7350135635479067,5.1438757321110264,2021-03-01
Austria,2021-10,18851.0,447205.0,AT,1476,8908,1.9919276394494694,7.829823351546337,2021-03-08
Austria,2021-11,20991.0,468196.0,AT,1626,10534,2.2499124298370767,7.746176932971274,2021-03-15
Austria,2021-12,21849.0,490045.0,AT,2047,12581,2.5673152465589895,9.3688498329443,2021-03-22
Austria,2021-13,21900.0,511945.0,AT,679,13260,2.590121985760189,3.1004566210045663,2021-03-29
Austria,2021-14,18533.0,530478.0,AT,559,13819,2.6050090672940254,3.0162412993039442,2021-04-05
Austria,2021-15,16316.0,546794.0,AT,670,14489,2.64980961751592,4.106398627114489,2021-04-12
Austria,2021-16,15250.0,562044.0,AT,161,14650,2.606557493719353,1.0557377049180328,2021-04-19
Austria,2021-17,12836.0,574880.0,AT,158,14808,2.5758419148344003,1.2309130570271112,2021-04-26
Austria,2021-18,8730.0,583610.0,AT,173,14981,2.5669539589794557,1.9816723940435281,2021-05-03
Austria,2021-19,5998.0,589608.0,AT,432,15413,2.6141097135724074,7.202400800266756,2021-05-10
Austria,2021-20,4307.0,593915.0,AT,235,15648,2.6347204566309994,5.4562340376131875,2021-05-17
Austria,2021-21,3147.0,597062.0,AT,142,15790,2.6446164719911835,4.512233873530346,2021-05-24
Austria,2021-22,2256.0,599318.0,AT,94,15884,2.6503458931652313,4.166666666666667,2021-05-31
Austria,2021-23,1793.0,601111.0,AT,274,16158,2.6880226780078886,15.281650864472951,2021-06-07
Austria,2021-24,635.0,601746.0,AT,426,16584,2.7559800979150673,67.08661417322834,2021-06-14
Austria,2021-25,759.0,602505.0,AT,2,16586,2.7528402253923203,0.2635046113306983,2021-06-21
Austria,2021-26,647.0,603152.0,AT,0,16586,2.7498872589330716,0.0,2021-06-28
Austria,2021-27,674.0,603826.0,AT,4,16590,2.7474802343721536,0.5934718100890207,2021-07-05
Austria,2021-28,2067.0,605893.0,AT,0,16590,2.7381072235526736,0.0,2021-07-12
Belgium,2020-40,21365.0,21365.0,BE,17,17,0.07956938918792418,0.07956938918792418,2020-10-05
Belgium,2020-41,43342.0,64707.0,BE,109,126,0.19472390931429367,0.2514881639056804,2020-10-12
Belgium,2020-42,78051.0,142758.0,BE,98,224,0.15690889477297243,0.12555892941794466,2020-10-19
Belgium,2020-43,109694.0,252452.0,BE,243,467,0.1849856606404386,0.22152533411125494,2020-10-26
Belgium,2020-44,93567.0,346019.0,BE,145,612,0.17686890026270233,0.1549691664796349,2020-11-02
Belgium,2020-45,48782.0,394801.0,BE,44,656,0.16615966018323156,0.09019720388667951,2020-11-09
Belgium,2020-46,31155.0,425956.0,BE,143,799,0.1875780597056973,0.45899534585138824,2020-11-16
Belgium,2020-47,20445.0,446401.0,BE,91,890,0.19937231323406535,0.44509660063585227,2020-11-23
Belgium,2020-48,15609.0,462010.0,BE,77,967,0.20930282894309646,0.49330514446793516,2020-11-30
Belgium,2020-49,15357.0,477367.0,BE,65,1032,0.21618586957204833,0.4232597512535,2020-12-07
Belgium,2020-50,17322.0,494689.0,BE,100,1132,0.22883063904796752,0.5773005426625101,2020-12-14
Belgium,2020-51,17263.0,511952.0,BE,237,1369,0.26740788198893645,1.3728784104732665,2020-12-21
Belgium,2020-52,11951.0,523903.0,BE,59,1428,0.27256954054471916,0.4936825370261903,2020-12-28
Belgium,2020-53,11835.0,535738.0,BE,179,1607,0.2999600551015608,1.5124630333755809,2021-01-04
Belgium,2021-01,14864.0,550602.0,BE,285,1892,0.34362388803527777,1.9173842841765338,2021-01-04
Belgium,2021-02,14154.0,564756.0,BE,486,2378,0.42106679698843397,3.433658329800763,2021-01-11
Belgium,2021-03,15792.0,580548.0,BE,883,3261,0.5617106595837037,5.591438703140831,2021-01-18
Belgium,2021-04,16949.0,597497.0,BE,871,4132,0.6915515893803651,5.138946250516255,2021-01-25
Belgium,2021-05,14601.0,612098.0,BE,945,5077,0.829442344199785,6.472159441134169,2021-02-01
Belgium,2021-06,13086.0,625184.0,BE,761,5838,0.933805087782157,5.81537521014825,2021-02-08
Belgium,2021-07,16255.0,641439.0,BE,1046,6884,1.073211950006158,6.434943094432482,2021-02-15
Belgium,2021-08,16804.0,658243.0,BE,1171,8055,1.2237122157014964,6.968578909783385,2021-02-22
Belgium,2021-09,13422.0,671665.0,BE,1053,9108,1.356033141521443,7.845328565042467,2021-03-01
Belgium,2021-10,21540.0,693205.0,BE,1417,10525,1.518309879472883,6.578458681522749,2021-03-08
Belgium,2021-11,29581.0,722786.0,BE,1507,12032,1.6646697639411943,5.094486325682025,2021-03-15
Belgium,2021-12,34266.0,757052.0,BE,1743,13775,1.8195579695978612,5.086674838031868,2021-03-22
Belgium,2021-13,30178.0,787230.0,BE,1658,15433,1.9604181751203587,5.4940685267413345,2021-03-29
Belgium,2021-14,24408.0,811638.0,BE,1315,16748,2.063481502837472,5.387577843330056,2021-04-05
Belgium,2021-15,24628.0,836266.0,BE,1533,18281,2.1860269340138188,6.2246223810297225,2021-04-12
Belgium,2021-16,24657.0,860923.0,BE,1587,19868,2.3077557458680973,6.436306119965932,2021-04-19
Belgium,2021-17,20997.0,881920.0,BE,1701,21569,2.4456866835994195,8.101157308186885,2021-04-26
Belgium,2021-18,21203.0,903123.0,BE,1539,23108,2.5586769465510235,7.25840682922228,2021-05-03
Belgium,2021-19,14873.0,917996.0,BE,1503,24611,2.6809485008649276,10.105560411483896,2021-05-10
Belgium,2021-20,17257.0,935253.0,BE,1596,26207,2.8021294772644407,9.248420930636843,2021-05-17
Belgium,2021-21,12184.0,947437.0,BE,1202,27409,2.892962803859254,9.865397242284963,2021-05-24
Belgium,2021-22,9103.0,956540.0,BE,1088,28497,2.979174943023815,11.952103702076238,2021-05-31
Belgium,2021-23,5259.0,961799.0,BE,802,29299,3.0462705825229595,15.250047537554668,2021-06-07
Belgium,2021-24,3014.0,964813.0,BE,484,29783,3.086919434128686,16.05839416058394,2021-06-14
Belgium,2021-25,2439.0,967252.0,BE,399,30182,3.120386414295344,16.359163591635916,2021-06-21
Belgium,2021-26,4061.0,971313.0,BE,427,30609,3.15130138276745,10.514651563654272,2021-06-28
Belgium,2021-27,7474.0,978787.0,BE,205,30814,3.148182393104935,2.742841851752743,2021-07-05
Belgium,2021-28,9461.0,988248.0,BE,0,30814,3.1180432442059076,0.0,2021-07-12
Bulgaria,2020-40,1532.0,1532.0,BG,2,2,0.13054830287206268,0.13054830287206268,2020-10-05
Bulgaria,2020-41,2815.0,4347.0,BG,0,2,0.04600874166091557,0.0,2020-10-12
Bulgaria,2020-42,5101.0,9448.0,BG,1,3,0.03175275190516511,0.01960399921584003,2020-10-19
Bulgaria,2020-43,8386.0,17834.0,BG,1,4,0.0224290680722216,0.011924636298592892,2020-10-26
Bulgaria,2020-44,16180.0,34014.0,BG,3,7,0.020579761274769213,0.018541409147095178,2020-11-02
Bulgaria,2020-45,21091.0,55105.0,BG,2,9,0.016332456219943742,0.009482717746906264,2020-11-09
Bulgaria,2020-46,23091.0,78196.0,BG,1,10,0.012788377922144356,0.004330691611450349,2020-11-16
Bulgaria,2020-47,23569.0,101765.0,BG,4,14,0.013757185672873777,0.016971445542874115,2020-11-23
Bulgaria,2020-48,20666.0,122431.0,BG,1,15,0.012251798972482459,0.004838865769863544,2020-11-30
Bulgaria,2020-49,18935.0,141366.0,BG,6,21,0.01485505708586223,0.031687351465540005,2020-12-07
Bulgaria,2020-50,18028.0,159394.0,BG,25,46,0.028859304616233986,0.1386731750610162,2020-12-14
Bulgaria,2020-51,11746.0,171140.0,BG,25,71,0.04148650227883604,0.2128384130767921,2020-12-21
Bulgaria,2020-52,6521.0,177661.0,BG,15,86,0.04840679721492055,0.23002606962122374,2020-12-28
Bulgaria,2020-53,5335.0,182996.0,BG,24,110,0.06011060351045924,0.4498594189315839,2021-01-04
Bulgaria,2021-01,5460.0,188456.0,BG,56,166,0.0880842212505837,1.0256410256410255,2021-01-04
Bulgaria,2021-02,3302.0,191758.0,BG,36,202,0.10534110702030684,1.0902483343428224,2021-01-11
Bulgaria,2021-03,3004.0,194762.0,BG,56,258,0.13246937287561228,1.8641810918774966,2021-01-18
Bulgaria,2021-04,3931.0,198693.0,BG,83,341,0.17162154680839284,2.111422030017807,2021-01-25
Bulgaria,2021-05,4986.0,203679.0,BG,137,478,0.2346830061027401,2.7476935419173687,2021-02-01
Bulgaria,2021-06,5945.0,209624.0,BG,123,601,0.2867038125405488,2.0689655172413794,2021-02-08
Bulgaria,2021-07,6987.0,216611.0,BG,128,729,0.3365480054106209,1.83197366537856,2021-02-15
Bulgaria,2021-08,10372.0,226983.0,BG,147,876,0.38593198609587503,1.4172772849980717,2021-02-22
Bulgaria,2021-09,13270.0,240253.0,BG,260,1136,0.4728348865570877,1.9593067068575736,2021-03-01
Bulgaria,2021-10,18249.0,258502.0,BG,280,1416,0.5477713905501699,1.5343306482546988,2021-03-08
Bulgaria,2021-11,24866.0,283368.0,BG,351,1767,0.6235707631066316,1.4115659937263734,2021-03-15
Bulgaria,2021-12,25330.0,308698.0,BG,309,2076,0.6725019274501293,1.2198973549151204,2021-03-22
Bulgaria,2021-13,24246.0,332944.0,BG,248,2324,0.6980152818491999,1.0228491297533613,2021-03-29
Bulgaria,2021-14,18994.0,351938.0,BG,207,2531,0.719160761270451,1.089817837211751,2021-04-05
Bulgaria,2021-15,14388.0,366326.0,BG,164,2695,0.7356835168674896,1.1398387545176536,2021-04-12
Bulgaria,2021-16,11119.0,377445.0,BG,138,2833,0.7505729311555326,1.2411188056479898,2021-04-19
Bulgaria,2021-17,7694.0,385139.0,BG,115,2948,0.7654379327982884,1.4946711723420847,2021-04-26
Bulgaria,2021-18,5008.0,390147.0,BG,78,3026,0.7756050924395164,1.5575079872204474,2021-05-03
Bulgaria,2021-19,3990.0,394137.0,BG,40,3066,0.7779021000312074,1.0025062656641603,2021-05-10
Bulgaria,2021-20,2454.0,396591.0,BG,18,3084,0.7776273289106409,0.7334963325183375,2021-05-17
Bulgaria,2021-21,1628.0,398219.0,BG,20,3104,0.7794705928145066,1.2285012285012284,2021-05-24
Bulgaria,2021-22,1199.0,399418.0,BG,40,3144,0.7871452964062712,3.336113427856547,2021-05-31
Bulgaria,2021-23,863.0,400281.0,BG,27,3171,0.7921934840774356,3.1286210892236386,2021-06-07
Bulgaria,2021-24,696.0,400977.0,BG,4,3175,0.7918159894457787,0.5747126436781609,2021-06-14
